"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/30/2019","AQS","250092006","3","7","ug/m3 LC","39","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/31/2019","AQS","250092006","3","6","ug/m3 LC","33","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/01/2019","AQS","250092006","3","7.1","ug/m3 LC","39","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/02/2019","AQS","250092006","3","11","ug/m3 LC","55","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/03/2019","AQS","250092006","3","16.8","ug/m3 LC","65","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/04/2019","AQS","250092006","3","16.3","ug/m3 LC","64","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/05/2019","AQS","250092006","3","8.6","ug/m3 LC","48","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/06/2019","AQS","250092006","3","4.6","ug/m3 LC","26","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/07/2019","AQS","250092006","3","5.3","ug/m3 LC","29","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/08/2019","AQS","250092006","3","3.8","ug/m3 LC","21","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/09/2019","AQS","250092006","3","3.3","ug/m3 LC","18","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/10/2019","AQS","250092006","3","3.4","ug/m3 LC","19","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/11/2019","AQS","250092006","3","3.4","ug/m3 LC","19","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/12/2019","AQS","250092006","3","3.2","ug/m3 LC","18","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/13/2019","AQS","250092006","3","4.3","ug/m3 LC","24","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/14/2019","AQS","250092006","3","6","ug/m3 LC","33","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/15/2019","AQS","250092006","3","8.5","ug/m3 LC","47","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/16/2019","AQS","250092006","3","6.3","ug/m3 LC","35","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/17/2019","AQS","250092006","3","5.6","ug/m3 LC","31","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/18/2019","AQS","250092006","3","6.2","ug/m3 LC","34","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/19/2019","AQS","250092006","3","4.3","ug/m3 LC","24","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/20/2019","AQS","250092006","3","5.7","ug/m3 LC","32","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/21/2019","AQS","250092006","3","6.2","ug/m3 LC","34","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/22/2019","AQS","250092006","3","6.4","ug/m3 LC","36","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/23/2019","AQS","250092006","3","7.8","ug/m3 LC","43","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/24/2019","AQS","250092006","3","5.4","ug/m3 LC","30","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/25/2019","AQS","250092006","3","4.7","ug/m3 LC","26","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/26/2019","AQS","250092006","3","4","ug/m3 LC","22","LYNN WATER TREATMENT PLANT","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
